,floyd_stance,floyd_followup,username,date,text,tweet_id
32472,0,0,comcast,5/4/20,@Palalala_ We want to help. Are you in an area outage currently? - CJ,t1257456572630028288
32473,0,0,comcast,5/4/20,@Neuro1989 Hi. We'd like to help with the ongoing internet issues and ensure everything gets resolved. Please send a DM with the account info using this link: https://t.co/YZQw8Eh8sN to reach our support team. -Chris,t1257436573848809480
32474,0,0,comcast,5/4/20,@michael_esq1 Hi Michael. We'd like to help get the service issues resolved. What's going on with the phone? -Chris,t1257435259450376193
32475,0,0,comcast,5/4/20,@jasonta66986347 Have you checked your My Account app to see if there's an issue in your area?,t1257432078100180992
32476,0,0,comcast,5/4/20,@Sharat_Chander We're working to get you back up and running ASAP. The My Account app will have the most up to date info. -Christine,t1257425574072594438
32477,0,0,comcast,5/4/20,@Braxton3 We would like to look into what's going on with this outage. Send us a DM here: https://t.co/YZQw8Eh8sN - CJ,t1257423833969106955
32478,0,0,comcast,5/4/20,"@JojoWWII We would love to look into getting someone out to you to check the issue out. Send us a DM here: https://t.co/YZQw8Eh8sN , so we can assist. - CJ",t1257420687100215299
32479,0,0,comcast,5/4/20,"@JojoWWII Hi, Joe! We very much committed to keeping our customers connected during this time. - CJ",t1257416484118282241
32480,0,0,comcast,5/4/20,"@Star_Blight We would love to have you! You can send us a DM here: https://t.co/YZQw8Eh8sN, and we can go over some plans. - CJ",t1257411884506021888
32481,0,0,comcast,5/4/20,"@LCDouglas We want to see if there's anything additional we can do to get you connected, Lindsay. Send us a DM here: https://t.co/YZQw8Eh8sN , for assistance. - CJ",t1257407992598867970
32482,0,0,comcast,5/4/20,@WendyMargolin Hi Wendy. We know how important it is to have reliable internet at this time and we'd like to help. How long have you been noticing the issues? -Chris,t1257406083909537792
32483,0,0,comcast,5/4/20,@datashed What's going on? -Christine,t1257400298546638853
32484,0,0,comcast,5/4/20,@erinnnannn We understand this downtime is very inconvenient and frustrating. We're working to fix the issues in your area ASAP. - CJ,t1257399637444636672
32485,0,0,comcast,5/4/20,@cephalopodeyes Let's see how we can make this right in regard to your bill. Send us a DM here: https://t.co/YZQw8Eh8sN - CJ,t1257394209096695810
