,floyd_stance,floyd_followup,username,date,text,tweet_id,,,,
12311,0,0,AmericanExpress,5/4/20,"@73Kendra hi, connecting you to our customer care team @AskAmex. ^A",t1257405219404763136,,,,
12312,0,0,AmericanExpress,5/4/20,"@niesy hi, connecting you to our customer care team @AskAmex.",t1257405125863374849,,,,
12313,0,0,AmericanExpress,5/4/20,We’re standing for small businesses by helping them get back to business. #StandForSmall is a one stop shop with resources small businesses can use to navigate this crisis from a growing group of companies who want to help. Visit https://t.co/TrgXCHM3uU #SmallBusiness https://t.co/erlaEH1DJc,t1257390469039915017,,,,
12314,0,0,AmericanExpress,5/4/20,@hippiechicknola Connecting you with @AskAmex to see if they can help look into this. ^E,t1257380225832366081,,,,
12315,0,0,AmericanExpress,5/4/20,@DesireT94080911 Please call the number on the back of your Card to reach customer care for assistance. ^E,t1257373590594387969,,,,
12316,0,0,AmericanExpress,5/4/20,"@Three11G Hi, please call us using the number on the back of your Card for assistance. ^E",t1257348641687306240,,,,
12317,0,0,AmericanExpress,5/4/20,@tusharparyani Hi please call the number on the back of your Card for assistance. ^E,t1257347957034287106,,,,
12318,0,0,AmericanExpress,5/4/20,"@InTheNickATime Hi, you can find the news here:  https://t.co/F53ez7Td4M ^E",t1257347671569960961,,,,
12319,0,0,AmericanExpress,5/4/20,@Evan00644096 Connecting you with our social servicing team @AskAmex to help with your questions. ^E,t1257347427578843145,,,,
12320,0,0,AmericanExpress,5/4/20,@minati_xo Thanks for the kind words. ^E,t1257347221235937281,,,,
12321,0,0,AmericanExpress,5/4/20,@lolacheesecakes Please have your daughter call the number on the back of her Card for assistance. ^E,t1257346839101259777,,,,
12322,0,0,AmericanExpress,5/4/20,@will_walsh We understand your concerns &amp,t1257346343179366402, support during this unprecedented time. You can read the latest news here: https://t.co/sKxJbasCVE If you have any Qs please call us to discuss potential options available to you. ^E,5.44E+18,,
12323,0,0,AmericanExpress,5/4/20,@eristotle_ Please call for assistance using the number on the back of your Card. ^E,t1257328892769116160,,,,
12324,0,0,AmericanExpress,5/4/20,@5ed7d5905cb04a8 hi please see these faqs or log into your account: https://t.co/fZb0eQE503 ^E,t1257328319332265984,,,,
12325,0,0,AmericanExpress,5/4/20,@BigO_723 Connecting you with @AskAmex to assist. ^E,t1257328026980925442,,,,
12326,0,0,AmericanExpress,5/4/20,@nora_doly Please have her call the number on the back of her Card for assistance. ^E,t1257121038023999489,,,,
12327,0,0,AmericanExpress,5/4/20,@FloFra4 Connecting you with @AskAmex to see if they can help with your question. ^E,t1257120683819249664,,,,
12328,0,0,AmericanExpress,5/5/20,@shawnvanhoops Looping in @AskAmex to see if they can check on this. ^E,t1257791009041395712,,,,
12329,0,0,AmericanExpress,5/5/20,@sambahreini We're sorry to hear about your experience. Connecting you with our social customer care team @AskAmex to see if they can help. ^E,t1257790789213655046,,,,
12330,0,0,AmericanExpress,5/5/20,@push_public Connecting you with @AskAmex to help look into this. ^E,t1257790533117845506,,,,
12331,0,0,AmericanExpress,5/5/20,"@SandersLonnie hi Lonnie, connecting you to our customer care team @AskAmex. ^A",t1257750760516919297,,,,
12332,0,0,AmericanExpress,5/5/20,"@fashionNovuh hi, looping in @AskAmex to assist with your question. ^A",t1257750507600388096,,,,
12333,0,0,AmericanExpress,5/5/20,"@SterlNHC thanks for the kind words, we've got your back. ^A",t1257750423273963520,,,,
12334,0,0,AmericanExpress,5/5/20,"@FamouslyFoolish Unfortunately, we are experiencing high call volumes and unusually long wait times. We apologize for the inconvenience and recognize this is a frustrating experience. Please try your call again at a later time. We appreciate your patience. ^A",t1257716017742188546,,,,
12335,0,0,AmericanExpress,5/5/20,Join us for #GivingTuesdayNow to celebrate and thank our everyday heroes and the nonprofits around the world fighting the impacts of COVID-19. Learn more about the inspiring work of the organizations we are supporting and find out how you can get involved: https://t.co/a5htbJOKCN https://t.co/pSbToZkb7f,t1257701597473386496,,,,
12336,0,0,AmericanExpress,5/5/20,"@KediaShekharcpa hi, connecting you to @AmexIndia so they can assist. ^A",t1257690195253760003,,,,
12337,0,0,AmericanExpress,5/5/20,"@thaitalian Unfortunately, we are experiencing high call volumes and unusually long wait times. We apologize for the inconvenience and recognize this is a frustrating experience. Please try your call again at a later time. We appreciate your patience. ^A",t1257690072868179969,,,,
12338,0,0,AmericanExpress,5/5/20,"@DrmaxSaini hi, bringing in @AmexIndia to see if they can help. ^A",t1257688652479684610,,,,
12339,0,0,AmericanExpress,5/5/20,"@RosestLuv hi Roseann, bringing in @AskAmex to assist with your question. ^A",t1257688424972267520,,,,
12340,0,0,AmericanExpress,5/5/20,"Building on our partnership with @Hilton to provide 1 million hotel room nights to healthcare workers, we’re contributing $1 million to @WCKitchen to provide healthy meals to healthcare workers during their stay at participating hotels https://t.co/uE6hXqUWkp #GivingTuesdayNow https://t.co/gUuOEzrrtC",t1257652388862754822,,,,
12341,0,0,AmericanExpress,5/5/20,"@zhaodanyue hi, connecting you to our customer care team @AskAmex. ^A",t1257486864107347968,,,,
12342,0,0,AmericanExpress,5/5/20,@King9999 sorry to hear this. Is there something @AskAmex can try to assist you with? ^A,t1257486755328114692,,,,
12343,0,0,AmericanExpress,5/5/20,"@getthept hi, connecting you to our customer care team @AskAmex to see if they can help. ^A",t1257485989204955137,,,,
12344,0,0,AmericanExpress,5/6/20,@JeannetteKaplun you're welcome! ^A,t1258184418419789825,,,,
12345,0,0,AmericanExpress,5/6/20,"@dlm_3 hi, is there something our customer care team @AskAmex can try to assist you with? ^A",t1258138199110701056,,,,
