floyd_stance,floyd_followup,username,date,text,tweet_id
0,0,kroger,2020-05-14,"@moxie_mo24 We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261055786907770881
0,0,kroger,2020-05-14,"@moxie_mo24 Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261055764015308800
0,0,kroger,2020-05-14,"@swagadragon We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261055623476756481
0,0,kroger,2020-05-14,"@swagadragon Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261055593386840065
0,0,kroger,2020-05-14,"@confusduckling Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261055569303085056
0,0,kroger,2020-05-14,"@michaelaatencio We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261055532145795075
0,0,kroger,2020-05-14,"@confusduckling We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261055529830494210
0,0,kroger,2020-05-14,"@michaelaatencio Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261055482007040002
0,0,kroger,2020-05-14,"@MrKentL We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261054735626514432
0,0,kroger,2020-05-14,"@naughtypundit We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261054714126503938
0,0,kroger,2020-05-14,"@MrKentL Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261054677594095621
0,0,kroger,2020-05-14,"@naughtypundit Our top priority has been the safety &amp; health of our associates, and customers. Since March, we’ve invested over $700 million to reward &amp; safeguard them. We know their needs will continue to evolve &amp; we'll continuously evaluate our compensation &amp; benefits packages. 1/2",t1261054644958232579
0,0,kroger,2020-05-14,"@ITConsultingGuy We have continued to invest in, support and protect our associates through this time. For more info, please visit https://t.co/yhcmUyKczH. We are committed to listening and doing what is best for our associates, customers, communities and the sustainability of our business. 2/2",t1261054545880403968
