floyd_stance,floyd_followup,username,date,text,tweet_id
0,0,ADMupdates,2020-05-05,"Especially now, access to nutrition has the power to solve many of the world’s challenges. On #GivingTuesday, we’re giving even more support to organizations across the world who provide hunger relief and fight on the front lines against #COVID. https://t.co/qszeMJ3k4Z https://t.co/Ui6XXPMkkU",t1257675135630413827
0,0,ADMupdates,2020-05-06,ADM Directors Declare Cash Dividend https://t.co/CVZXDT06Ls https://t.co/09QXG9AZVG,t1258090395747135493
0,0,ADMupdates,2020-05-07,"We’re proud Jeff Belcher is part of #TeamADM. A licensed paramedic, he’s taken temporary paid leave from his day job in maintenance at ADM to help save lives during the #coronavirus pandemic. Read his story: https://t.co/y1SWhXuxXy https://t.co/XDPxUPUWi1",t1258404619589427200
0,0,ADMupdates,2020-05-11,"For many, being a working mom looks different right now. We're so thankful to the moms on #TeamADM for being fully committed to improving global nutrition and nourishing quality of life. Happy #MothersDay ! https://t.co/OlP084EnxD",t1259833644799139841
0,0,ADMupdates,2020-05-13,"""You feel comforted and cocooned."" In an interview with @Inverse, ADM Chief Flavorist Marie Wright dives into the science behind #comfortfood and why we’re craving it right now: https://t.co/wNPjnxbgZ3 #icecream https://t.co/vEBYaAtPhn",t1260668977103212546
0,0,ADMupdates,2020-05-13,"Hunger. For many, it’s been exacerbated by #covid19. This Friday, in a webinar with @Concern , ADM Chief Sustainability Officer Alison Taylor will explain how we can all be part of the solution. RSVP here: https://t.co/tXf3HEwsmn https://t.co/nDQltIkVM0",t1260604545052311555
0,0,ADMupdates,2020-05-14,The health of our natural resources is critical to our future. ADM’s Alison Taylor tells @Greenbiz how our goals to curb greenhouse gas emissions and reduce energy intensity will create a stronger ADM and a better world: https://t.co/xsV4xIBSp5,t1260984960858697733
0,0,ADMupdates,2020-05-14,"We're honored to support #HealthcareHeroes and provide access to nutrition worldwide. In Indonesia, #ADMCares partnered with @ACT_JaBar's to provide food, water &amp; medical &amp; cleaning supplies to those impacted by #COVID-19. https://t.co/C0LzV7OLeO",t1260947322336395265
0,0,ADMupdates,2020-05-18,"Our investment in the R&amp;D of probiotics and their effectiveness has been
recognized with three prestigious awards from @NutraEurope. The winning
solutions were praised by judges for being “truly innovative” natural
probiotics ingredients. #NIAAwards20 https://t.co/m94dm1fFuN",t1262500530196185088
0,0,ADMupdates,2020-05-19,"Today, we announced new goals to reduce water intensity by 10 percent and achieve a 90 percent landfill diversion rate by 2035. Our commitments to sustainable practices will result in a stronger ADM and a better world: https://t.co/UCouvDqIb5 https://t.co/Zulej0Cx7z",t1262759514970841090
0,0,ADMupdates,2020-05-20,We're proud to partner with Dr. Cortés @GVAsagunt for a clinical trial into the effects of probiotic food supplements to improve health functions for COVID-19 patients in high-risk groups: https://t.co/xfN92veI2r https://t.co/BUWefLWGGG,t1263155741407543296
0,0,ADMupdates,2020-05-27,"Introducing PlantPlus Foods, a new joint venture from @ADMupdates and @marfrig_mrfg3 offering plant-based meat alternatives for customers in North and South America. Learn more: https://t.co/nVBbIgSrxZ https://t.co/Jyl3Q4Bq2c",t1265621067361648641
0,0,ADMupdates,2020-06-05,"We understand the urgency to act now. To promote substantive change, ADM will contribute $200,000 to the @NatUrbanLeague , an organization dedicated to advancing economic empowerment, equality and social justice for African Americans and others in underserved communities. https://t.co/oJWMz69vYh",t1268982522911784960
0,0,ADMupdates,2020-06-05,"We believe in creating a positive impact on the world. That’s why earlier this year, we made aggressive new commitments to reduce greenhouse gas emissions, energy &amp; water intensity and landfill waste. Learn more: https://t.co/y9OMz2pEgW #WorldEnvironmentDay https://t.co/DcCPTYFxOu",t1268898908178132995
0,0,ADMupdates,2020-06-08,"Next week, ADM CFO Ray Young will talk about ADM’s strategy and performance in a fireside chat in the @Stifel 2020 Virtual Cross Sector Insight Conference. Join the webcast live on Wed., June 10 at 9:20 ET at https://t.co/JM6984NJSX https://t.co/0c7NNAfT3f",t1269994175824629761
0,0,ADMupdates,2020-06-09,"We’re proud to play a part, engaging farmers in Brazil’s Cerrado region for sustainable soy production. @WBCSD @Solidaridadnetw https://t.co/dx7fHCnh3Q",t1270357389439578115
0,0,ADMupdates,2020-06-10,"We’re continuing to support #HealthcareHeroes . In the UK, ADM Protexin donated 9,000 samples of our Bio-Kult microbial food supplements to help support medical staff at the NHS by complementing their gut flora, at a time when they need it most. https://t.co/cFYwf0GR1k https://t.co/LbG6R5tQQJ",t1270788695449354240
0,0,AIGinsurance,2020-05-04,"In the face of COVID-19, our colleagues have shown great resilience and remain focused on what we do best, which is helping our clients manage risk, especially in difficult times. Read our results and join tomorrow’s webcast at 8amET.",t1257409911463518209
0,0,AIGinsurance,2020-05-04,"@dani_dseg Hi Dani, We apologize for the wait time since we are experiencing an extremely high volume of inquiries. You can check the status of your claim online at: https://t.co/D6BTtJA5Iq. If you need additional assistance, please call 1-800-826-1300. Thank you.",t1257356533517729793
0,0,AIGinsurance,2020-05-04,"@jwmw729 Hi, Please call 1-800-826-1300 for additional assistance. Please check out our FAQs regarding COVID-19: https://t.co/FkosO0BKXl and use our self-service options: https://t.co/GOyyA8wOTa.  Thank you.",t1257356248665767937
0,0,AIGinsurance,2020-05-04,"@PamelaGordon2 Hello Pamela, we are sorry for the inconvenience. Kindly send an email to SMT@aig.com about your policy, name and contact number. We will forward to the appropriate team. For privacy reasons, please do NOT post a response with your personal information.",t1257341275432509444
0,0,AIGinsurance,2020-05-04,"@MrBRZ_Lomeli Hi, we are very sorry to hear of your frustration. Kindly send an email to SMT@aig.com about your policy, name and contact number. We will have someone look into your claim as soon as possible. For privacy reasons, please do NOT post a response with your personal information.",t1257341262270730240
0,0,AIGinsurance,2020-05-05,"@kalinpearce Hi, Kalin. We are sorry to hear you feel this way. We aren’t able to know the details of your situation over social media, but please email your policy number and contact information to socialmedia@travelguard.com so that we can look into it. Thank you.",t1257767204285808640
0,0,AIGinsurance,2020-05-05,"@limshadey Hello Mark, thank you for contacting us. Kindly send an email to SMT@aig.com with your policy, name and contact number. We will forward to the appropriate team. For privacy reasons, please do NOT post a response with your personal information.",t1257712978109046784
0,0,AIGinsurance,2020-05-05,Learn more about AIG’s first quarter results on today’s webcast at 8am ET. Tune in here: https://t.co/VTmGN5xiKb,t1257633589459632129
0,0,AIGinsurance,2020-05-06,We’re proud of the work our colleagues around the world do to foster #inclusion in the workplace and honored to have earned a spot on @DiversityInc's 2020 Top 50 Companies for Diversity list for the 3rd year in a row. 🏆 🙌 #LifeatAIG #DITop50 https://t.co/tpzkO5ljoI,t1258099030497939456
0,0,AIGinsurance,2020-05-06,"@BMacintosh79 Hi Boris, We are sorry to hear of your frustration. If you have additional questions or concerns, please call 1-800-826-1300. Thank you",t1258096046732910599
0,0,AIGinsurance,2020-05-06,"Our thoughts remain with those affected by #COVID19, and we are committed to helping our global communities prepare for the challenges that lie ahead. https://t.co/PLFxgLbBLK",t1258026103614169088
0,0,AIGinsurance,2020-05-06,"@LindsayMurphy11 Hi Linzi, we are sorry for the inconvenience. Kindly send an email to SMT@aig.com with your policy, name and phone number. We will have someone reach out to you as soon as possible. For privacy reasons, please do NOT post a response with your personal information.",t1257850967330037760
0,0,AIGinsurance,2020-05-07,"@SheMeHerShan Hi, We apologize for the wait time. The claim review time can vary due to the complexity of a claim or receipt of all required documentation. If you need additional assistance please call 1-800-826-1300. Thank you.",t1258505307959037953
0,0,AIGinsurance,2020-05-07,"@SheMeHerShan Hi, We apologize for the wait time since we are experiencing an extremely high volume of inquiries. You can check the status of your claim online at: https://t.co/mAm6G1CUPb. If you need additional assistance, please call 1-800-826-1300. Thank you.",t1258432691705458690
0,0,AIGinsurance,2020-05-07,"@TheSquirrelyG Hi David, We are sorry to hear of your frustration. Please contact your claims adjuster or call us at 1-800-826-1300 so we can talk through it. Thank you",t1258432678875009025
0,0,AIGinsurance,2020-05-07,"@ScarH5200 Hello, please email us at GCCU@aig.com so we can assist you with your claim.",t1258387790938673152
0,0,AIGinsurance,2020-05-08,"@soundtwitts Hi, We apologize for the inconvenience. Please check our claims FAQ https://t.co/Lh0FTsimLK and you can file for a claim at https://t.co/48pYm5q4cV. Otherwise, email socialmedia@travelguard.com your policy no., full name, and phone so we can further assist. Thank you.",t1258857178208878593
0,0,AIGinsurance,2020-05-08,"@_Giftayy Hi, We are sorry to hear of your feelings on this. If you have additional questions or concerns, please call us at 1-800-826-1300 so we can talk through it. Thank you",t1258856922335371267
