,floyd_stance,floyd_followup,username,date,text,tweet_id
2992,0,0,AmericanAir,5/4/20,"@FernandoAQuezad We always want to be as helpful as we can, Fernando. DM your booking code and further details for assistance.",t1257442491881660417
2993,0,0,AmericanAir,5/4/20,@LG3 We're so glad we could help!,t1257425900800561152
2994,0,0,AmericanAir,5/4/20,@MariaO543 We're so sorry that the conference was cancelled and the situation. We have a flexible waiver for non-refundable tickets.,t1257420498809618432
2995,0,0,AmericanAir,5/4/20,"@autisticb4mmr Refunds are offered if the flight is no longer operating. Otherwise, you can reuse the ticket with no charge for travel before 12/31/21.",t1257417363265392640
2996,0,0,AmericanAir,5/4/20,@autisticb4mmr It was too much to share here but much of the info can be found online: https://t.co/kNkPUilgez. We've responded via DM.,t1257412510413619200
2997,0,0,AmericanAir,5/4/20,@autisticb4mmr We see your DM and we're going to follow-up with you directly there.,t1257411033645436930
2998,0,0,AmericanAir,5/4/20,@CrazedCreative Thanks for working with us! We hope for another opportunity to fly with you soon.,t1257404253385166850
2999,0,0,AmericanAir,5/4/20,@YourAuntieSusan Please send us a DM with your ticket number. We'd like to take a look at the status of your refund.,t1257399765744091137
3000,0,0,AmericanAir,5/4/20,"@amdev83 We're offering a waiver of the change charge and travel can be anytime before the 31st of December, 2021. Please DM if we can help.",t1257397247496654850
3001,0,0,AmericanAir,5/4/20,@Kidhearder Please DM your record locator and more info. We'd really like to take a closer look.,t1257396968193691649
3002,0,0,AmericanAir,5/4/20,"@DArnone22 We're here to assist when you need us. Meet us in DMs, and we'll have a look at the options available.",t1257395540486168578
3003,0,0,AmericanAir,5/4/20,"@patrickrssll It is taking a bit longer than usual due to the current high volume. Please DM the ticket numbers, and we'll check on an update for you.",t1257395158037016576
3004,0,0,AmericanAir,5/4/20,"@PatWielandLIVE We hear your concerns. As of May 1, crew members will be wearing masks while in flight. They're not mandatory while out in the terminal.",t1257394597053038595
3005,0,0,AmericanAir,5/4/20,@DanyelleAllyce We never want to disappoint you and very much appreciate your loyalty. Please send us a DM with your record locator and details.,t1257391816778952704
3006,0,0,AmericanAir,5/4/20,@USKOTD We take our holidays seriously here! #MayTheFourthBeWithYou,t1257389149251874816
3007,0,0,AmericanAir,5/4/20,"@esegoviamattos We're happy to hear our #AATeam took excellent care of you, Eduardo. Come see us again soon!",t1257388911057305600
3008,0,0,AmericanAir,5/4/20,@Marshgeek We love these kudos to our #AATeam! We'll be sure to pass along your thanks to our leadership in Flight Service.,t1257388667582189569
3009,0,0,AmericanAir,5/4/20,@asymca We're glad we could help deliver these much needed packages to our heroes!,t1257388453437808640
3010,0,0,AmericanAir,5/4/20,@hope5030 Refunds are processed when a flight cancels and the tickets can be reused if it's still going. Here's more info: https://t.co/kNkPUilgez,t1257388007637889024
3011,0,0,AmericanAir,5/4/20,@AscioneChristie We love to honor our first responders. Please have the customer contact us directly via DMs and we'll take a look.,t1257387446989455364
3012,0,0,AmericanAir,5/4/20,"@autisticb4mmr We appreciate your feedback. The good news is, you can change the route of your ticket and we're waiving the change fee.",t1257387160275243017
3013,0,0,AmericanAir,5/4/20,"@JameelAlayyan Yes, we'll be providing masks to any customer that doesn't have their own.",t1257386654551113728
3014,0,0,AmericanAir,5/4/20,@lolojr Allowances are made for customers who can't wear the masks. Please speak to the flight attendant to explain what's going on.,t1257386564767944706
3015,0,0,AmericanAir,5/4/20,"@PatWielandLIVE Thanks, we'll be sure to pass this along to our airport team for further review.",t1257386381975990272
