floyd_stance,floyd_followup,username,date,text,tweet_id
0,0,AmericanAir,2020-05-22,"@shakeshur We're glad to be seeing you tomorrow and look forward to you flying with us, Katherine!",t1263841663568482307
0,0,AmericanAir,2020-05-22,@BradleyEline10 That's not the experience that we wanted you to have today. Please DM your record locator if you need assistance.,t1263841568227831813
0,0,AmericanAir,2020-05-22,@whammerkid We're limiting the number of customers on board and we'd like to share this feedback with our team. Please DM your record locator.,t1263841294331326466
0,0,AmericanAir,2020-05-22,"@Carson_Cotton01 We know Mother Nature hasn't been playing nice in CLT today. DM your record locator and we'll check the connection, Carson.",t1263841185048731650
0,0,AmericanAir,2020-05-22,@wilbeyspitty Apologies for the flight change. Please DM your record locator if you'd like us to look at other options with you.,t1263838844799066118
0,0,AmericanAir,2020-05-22,@Beeckysays That's not the experience that we want you to have. Please DM your record locator if you'd like us to double check this for you.,t1263838482771951624
0,0,AmericanAir,2020-05-22,"@NurseSuzin There are times when middle seats are assigned if people want to sit together and to keep from separating families, Susan.",t1263838354707185678
0,0,AmericanAir,2020-05-22,@simplysavoy We don't like to hear that. Please DM your record locator and let us know how we can help.,t1263836004714262530
0,0,AmericanAir,2020-05-22,@KaraNeaton We'd like to take a closer look. Please DM your voucher info and let us know what's going on.,t1263835852427362305
0,0,AmericanAir,2020-05-22,"@g00drich Apologies for the extra wait time today, Matt. We'll have you on your way soon.",t1263835681304072197
0,0,AmericanAir,2020-05-22,"@scxt Thanks for sharing your thoughts about the online security questions and we'll pass them over for review, Shawn.",t1263835077949227010
0,0,AmericanAir,2020-05-22,@SecurePessimist We can take a closer look at your reservation so please DM your record locator or ticket numbers.,t1263834741507268608
0,0,AmericanAir,2020-05-22,@kaybrooks41 The seats maybe assigned for customer who want to sit next to each other or families traveling together.,t1263834395674382337
0,0,AmericanAir,2020-05-22,@goodtimes831 We're seeing many center seats open on this flight today. Please DM your record locator and we'll check it out.,t1263834196503597057
