,floyd_stance,floyd_followup,username,date,text,hash,,,,,,
18608,0,0,Google,5/4/20,"@shapednoise Thanks for following. Would you mind sharing the case ID number over DMs, so we have additional details? The case ID # is the string of numbers in front of the subject on any emails you'd have received from our support team. Appreciate it.",9.18768E+018,,,,,,
18609,0,0,Google,5/4/20,@MLB Hope you all keep swinging for the fences ⚾️ (just don't break anything!),1.11896E+019,,,,,,
18610,0,0,Google,5/4/20,"@NBA No bull, we're flipping out over here! (Well, maybe one 🐂.)",1.08058E+019,,,,,,
18611,0,0,Google,5/4/20,We're huge fans of how teachers are recreating the classroom feel online. 🤓 Fun touches like these are helpful for kids to stay excited about school while they #stayhome. https://t.co/XrjoWZ9fTL,1.39513E+019,,,,,,
18612,0,0,Google,5/4/20,We’ve all been thrown a few curveballs ⚾ recently and many of us are looking for ways to keep swinging. Searches for “backyard batting cages” have spiked by over 5000% as more people wish for @mlb to be back → https://t.co/PbWJCg3oNz https://t.co/TElRbwCqOa,1.31015E+019,,,,,,
18613,0,0,Google,5/4/20,"In April, the U.S. searched for the term “shredded” more than ever before. It’s not a fitness reference  — it’s for recipes involving “shredded chicken” → https://t.co/YvcMg7leyf 🐔 https://t.co/8iheOIotzK",1.99739E+018,,,,,,
18614,0,0,Google,5/4/20,People are looking for creative ways to stay active at home. 💪 Searches for “diy” equipment like pull-up bars and dumbbells have increased by over 800% this month → https://t.co/qYspTrzN54 https://t.co/pUYRPvM2Qa,1.11254E+019,,,,,,
18615,0,0,Google,5/4/20,"When it comes to searches for busting a move “tik tok dance tutorial” did a Toosie Slide into first place, beating out “hip hop dance tutorial” and “online dance tutorial” overall. How about that @Drake? https://t.co/dY6DuJUeZt https://t.co/R5XS4tLeeW",1.26263E+018,,,,,,
18616,0,0,Google,5/4/20,People are looking to live out their wildest @nba mascot hoop dreams this month as searches for “trampoline basketball hoop” fly high. Bounce around the trends tool to see which country is searching the most → https://t.co/SxHVatD7dg 🏀 https://t.co/lJSCh21853,1.76787E+019,,,,,,
18617,0,0,Google,5/4/20,"Love is the answer. That’s right, heart emojis ❤️ were searched 10x more than the mask emoji 😷 this month. Find out what other emoji comes close → https://t.co/kMvDcnwTJl https://t.co/HanNEdvdsN",1.5525E+019,,,,,,
