floyd_stance,floyd_followup,username,date,text,tweet_id
0,0,Google,2020-06-05,@SantoshKrPodda1 Hi Santosh. Did you try resetting your password by completing the steps on this page: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.,t1268879193674317825
0,0,Google,2020-06-05,@SURAJKU96400004 Hi Suraj. Let's see what we can do to help. Look out for a DM with next steps.,t1268878793969672192
0,0,Google,2020-06-05,"@AbigailCoates3 Hi Abigail. Just to confirm, have you already tried recovering your account by completing the steps here: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.",t1268877717203824641
0,0,Google,2020-06-05,@kunalksr10 Hi Kunal. Have you already tried recovering your account by completing the steps here: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.,t1268877359031164929
0,0,Google,2020-06-05,"@Jotpooni Hi there. Without revealing your email address, tell us more about what's going on with your account. We'll see what we can do to help.",t1268875978325086209
0,0,Google,2020-06-05,@Paul37686170 Hi there. Try these tips if you're unable to receive your 2-Step Verification code: https://t.co/iFT0OBqbkN. Keep us posted.,t1268875738050158592
0,0,Google,2020-06-05,"@Upasana76101758 Hi Upasana. Just to confirm, are you still able to sign into your Google account? Let us know.",t1268873418113462275
0,0,Google,2020-06-05,"@vktyagi1 Hi there. Just to confirm, did you try resetting your password by completing the steps on this page: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.",t1268872270447075330
0,0,Google,2020-06-05,"@iamnzingamoore Hi Nzinga. Just to confirm, have you already tried recovering your account using the steps here: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.",t1268871677229875201
0,0,Google,2020-06-05,@NebulaASMR Hi there. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.,t1268871039687307266
0,0,Google,2020-06-05,@virgilspeaks Hmm. Is this a G Suite account (ending in something other than @gmail.com)? We suggest contacting your IT Admin for next steps. Hope this helps.,t1268870955880808450
0,0,Google,2020-06-05,@CrucialHD_ Hi there. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.,t1268870629358481409
0,0,Google,2020-06-05,"@GOPALKEDIA1 Hi Gopal. We suggest contacting the appeals team: https://t.co/BpDkakbVpP. If you don't know the password on your account, you can recover it here: https://t.co/nrurccAsgj. We hope this gets resolved soon.",t1268869741822849026
0,0,Google,2020-06-05,"@onyxhawke Hmm. We suggest contacting the appeals team: https://t.co/BpDkakbVpP. If you don't know the password on your account, you can recover it here: https://t.co/nrurccAsgj. We hope this gets resolved soon.",t1268869393255186433
0,0,Google,2020-06-05,"@millennialprof Hi Tracy. Just to confirm, did you try resetting your password by completing the steps on this page: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.",t1268869254415355908
0,0,Google,2020-06-05,@aliblink4 Hi there. Do you have 2-Step Verification enabled? Try these tips if you're unable to receive a code: https://t.co/iFT0OBqbkN. Keep us posted.,t1268868802609020929
0,0,Google,2020-06-05,@Rushil69075325 Hi Rushil. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.,t1268868588917702656
0,0,Google,2020-06-05,"@kaatyswan Hi Katy. If there's something different about how you're signing in, we may need to verify it's you. For more information or issues verifying, see https://t.co/1HeXzYymL2.",t1268868541937303552
0,0,Google,2020-06-05,@zeal1528 Hmm. Let's see what we can do to help. Look out for a DM with next steps,t1268868371421986818
0,0,Google,2020-06-05,"@LauraGa05759201 Hi there. Without revealing your email address, tell us more about what's going on with your Google accounts. We'll see what we can do to help.",t1268868225158262785
0,0,Google,2020-06-05,"@Allpaca714 Hi Alberto. We suggest contacting the appeals team: https://t.co/BpDkakbVpP. If you don't know the password on your account, you can recover it here: https://t.co/nrurccAsgj. We hope this gets resolved soon.",t1268868039019290627
0,0,Google,2020-06-05,"@rohittal Hi there. If he sends us a tweet, we'll see what we can do to help. In the meantime, make sure he's completed the steps at https://t.co/nrurccAsgj.",t1268867403431239680
0,0,Google,2020-06-05,@Pho3nix_plays Let's see if we can help. Please follow us and let us know when you have so we can share next steps through DM.,t1268867004083159040
0,0,Google,2020-06-05,"@drewtwitchell Hi Drew. If they send us a tweet, we'll see what we can do to help. In the meantime, make sure they've completed the steps at https://t.co/nrurccAsgj.",t1268866634384637955
0,0,Google,2020-06-05,"@chiknuggs Hi there. Just to confirm, are you still able to sign into your account? Let us know.",t1268866618836291585
0,0,Google,2020-06-05,@DGStormtrooper Hi Dan. We suggest adding extra layers of security to your account with these tips: https://t.co/k6X4NghPTb. Hope this helps.,t1268864963654942724
0,0,Google,2020-06-05,@MissNorthernR Hmm. Do you have 2-Step Verification enabled? Try these tips if you're unable to receive a code: https://t.co/iFT0OBqbkN. Keep us posted.,t1268864642182516736
0,0,Google,2020-06-05,"@RedneckYaboi Hi there. Just to confirm, have you already tried recovering your account by completing the steps here: https://t.co/nrurccAsgj? These tips may help: https://t.co/UHHuDcTNqF. Let us know.",t1268864350279827457
0,0,Google,2020-06-05,@SusmitaHG Hmm. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.,t1268864060700884995
0,0,Google,2020-06-05,@Aj62027676 Hi there. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.,t1268863211513745408
0,0,Google,2020-06-05,@nareshverma530 Hi Naresh. Let's see what we can do to help. Look out for a DM with next steps.,t1268862514361761798
0,0,Google,2020-06-05,"@YYnoHul3LSpPdh9 Hi there. Are you getting a specific error message when you try signing into your Google account? Without revealing your email address, give us the exact wording &amp; we'll try and point you in the right direction. This guide may also help: https://t.co/ptz8XaS7Q9.",t1268862330407997441
0,0,Google,2020-06-05,"@martintroedsson Hi Martin. If he sends us a tweet, we'll see what we can do to help. In the meantime, make sure he's completed the steps at https://t.co/nrurccAsgj.",t1268861700062826499
